row_number,religion,denomination,sub_denomination,sub_denomination_2,leader,old_since,new_since,precision_before,precision_after,tenure_basis,source_type,source_url,notes
85,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / Evangelical Lutheran Church of Estonia / Evangelical Lutheran Church of Estonia Church Abroad,Thomas Vaga / Acting Bishop,2011,2011,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Marinomonas_vaga,Search query `Thomas Vaga` matched `Marinomonas vaga` with score 10
86,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / Evangelical Lutheran Church of Finland,Tapio Luoma / Archbishop of Turku,2018,June 1st 2018,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Tapio_Luoma,Wikipedia infobox field `term_start`; Search query `Tapio Luoma / Archbishop of Turku Protestantism / Lutheranism / Evangelical Lutheran Church of Finland` matched `Tapio Luoma` with score 41
87,Christianity,Protestantism,Lutheran,Church of Norway,Harald V of Norway / King of Norway,1991,January 17th 1991,year,day,reign,secondary_wikipedia,https://en.wikipedia.org/wiki/Harald_V,Wikipedia infobox field `reign`; Search query `Harald V of Norway / King of Norway Church of Norway` matched `Harald V` with score 20
88,Christianity,Protestantism,Lutheran,Swedish Church,Martin Modéus / Lutheran Primate of Sweden,2022,December 4th 2022,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Martin_Modéus,Wikipedia infobox field `enthroned`; Search query `Martin Modéus / Lutheran Primate of Sweden Swedish Church` matched `Martin Modéus` with score 38
89,Christianity,Protestantism,Lutheran,Lutheran Church–Missouri Synod,Matthew C. Harrison / President,2010,September 11th 2010,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Matthew_Harrison_(minister),Wikipedia infobox field `term_start`; Search query `Matthew C. Harrison / President Lutheran Church–Missouri Synod` matched `Matthew Harrison (minister)` with score 23
90,Christianity,Protestantism,Lutheran,Evangelical Lutheran Church in America,Elizabeth Eaton / Presiding Bishop,2013,October 5th 2013,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Elizabeth_Eaton,Wikipedia infobox field `term_start`; Search query `Elizabeth Eaton / Presiding Bishop Evangelical Lutheran Church in America` matched `Elizabeth Eaton` with score 39
91,Christianity,Protestantism,Lutheran,Lutheran Congregations in Mission for Christ,Mark Vander Tuig / National Service Coordinator,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/United_States_Forest_Service,Search query `National Service Coordinator` matched `United States Forest Service` with score 10
92,Christianity,Protestantism,Lutheran,Wisconsin Evangelical Lutheran Synod,Mark G. Schroeder / President,2007,2007,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Wisconsin_Evangelical_Lutheran_Synod,Search query `Mark G. Schroeder Protestantism` matched `Wisconsin Evangelical Lutheran Synod` with score 25
93,Christianity,Protestantism,Lutheran,Evangelical Lutheran Church in Canada,Susan Johnson / National Bishop,2007,2007,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Susan_Johnson_(bishop),Best candidate `2007` did not improve precision over `2007`; Wikipedia lead extract; Search query `Susan Johnson / National Bishop Evangelical Lutheran Church in Canada` matched `Susan Johnson (bishop)` with score 39
94,Christianity,Protestantism,Methodist,Protestantism / Methodism / African Methodist Episcopal Church,Clement W. Fugh / General Secretary,2000,2000,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/African_Methodist_Episcopal_Church,Search query `Clement W. Fugh` matched `African Methodist Episcopal Church` with score 19
95,Christianity,Protestantism,Methodist,Protestantism / Methodism / Chinese Methodist Church in Australia,James Kwang / Bishop,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Chinese_Methodist_Church_in_Australia,Search query `James Kwang` matched `Chinese Methodist Church in Australia` with score 16
96,Christianity,Protestantism,Methodist,Protestantism / Methodism / Free Methodist Church in Canada,Cliff Fletcher / Bishop,2017,2017,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Holiness_movement,Search query `Cliff Fletcher / Bishop Protestantism / Methodism / Free Methodist Church in Canada` matched `Holiness movement` with score 7
97,Christianity,Protestantism,Methodist,Protestantism / Methodism / Iglesia Evangelica Metodista en las Islas Filipinas,Nathaniel P. Lazaro / General Superintendent,2000,2000,year,year,,manual_review,https://en.wikipedia.org/wiki/Lázaro_Cárdenas,Manual review rejected the automated match and restored the original value; Wikipedia infobox field `term_start`; Search query `Nathaniel P. Lazaro` matched `Lázaro Cárdenas` with score 14
98,Christianity,Protestantism,Methodist,Methodist Church Ghana,Emmanuel Asante / Presiding Bishop,2009,2009,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Emmanuel_Asante_(theologian),Best candidate `2009` did not improve precision over `2009`; Wikipedia lead extract; Search query `Emmanuel Asante / Presiding Bishop Methodist Church Ghana` matched `Emmanuel Asante (theologian)` with score 40
99,Christianity,Protestantism,Methodist,Methodist Church in Malaysia,Hwa Yung / Bishop,2004,2004,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Hwa_Yung,Search query `Hwa Yung / Bishop Methodist Church in Malaysia` matched `Hwa Yung` with score 34
100,Christianity,Protestantism,Methodist,Methodist Church of Southern Africa,Ivan M Abrahams / President,2003,2003,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Methodist_Church_of_Southern_Africa,Search query `President Methodist Church of Southern Africa` matched `Methodist Church of Southern Africa` with score 15
101,Christianity,Protestantism,Methodist,Protestantism / Methodism / Methodist Church of Southern Africa / General Secretary,Vuyani G Nyobole / General Secretary,2005,2005,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/United_Methodist_Church,Search query `General Secretary Protestantism / Methodism / Methodist Church of Southern Africa / General Secretary` matched `United Methodist Church` with score 8
102,Christianity,Protestantism,Methodist,Protestantism / Methodism / United Methodist Church,Warner Brown / President of the Council of Bishops,2014,2014,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/United_Methodist_Council_of_Bishops,Search query `Warner Brown of the Council of Bishops` matched `United Methodist Council of Bishops` with score 15
103,Christianity,Protestantism,Protestantism,Protestantism / Pentecostalism / Assemblies of God / United States,Doug E. Clay / General superintendent,2017,2017,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Assemblies_of_God_USA,Search query `Doug E. Clay` matched `Assemblies of God USA` with score 22
104,Christianity,Protestantism,Protestantism,Protestantism / Pentecostalism / Grace Communion International,Joseph Tkach Jr. / President and pastor general,1995,1995,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Joseph_Tkach_Jr.,Search query `Joseph Tkach Jr. Protestantism` matched `Joseph Tkach Jr.` with score 43
105,Christianity,Protestantism,Protestantism,Protestantism / Pentecostalism / New Apostolic Church,Jean-Luc Schneider,2013,2013,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jeanne_Moreau,Search query `Jean-Luc Schneider Protestantism` matched `Jeanne Moreau` with score 7
